Date,City,Gas Prices (dollars per gallon),,,
Jun-00,Boston,,,,
Jul-00,Boston,,,,
Aug-00,Boston,,,,
Sep-00,Boston,,,,
Oct-00,Boston,,,,
Nov-00,Boston,,,,
Dec-00,Boston,,,,
1-Jan,Boston,,,,
1-Feb,Boston,,,,
1-Mar,Boston,,,,
1-Apr,Boston,,,,
1-May,Boston,,,,
1-Jun,Boston,,,,
1-Jul,Boston,,,,
1-Aug,Boston,,,,
1-Sep,Boston,,,,
1-Oct,Boston,,,,
1-Nov,Boston,,,,
1-Dec,Boston,,,,
2-Jan,Boston,,,,
2-Feb,Boston,,,,
2-Mar,Boston,,,,
2-Apr,Boston,,,,
2-May,Boston,,,,
2-Jun,Boston,,,,
2-Jul,Boston,,,,
2-Aug,Boston,,,,
2-Sep,Boston,,,,
2-Oct,Boston,,,,
2-Nov,Boston,,,,
2-Dec,Boston,,,,
3-Jan,Boston,,,,
3-Feb,Boston,,,,
3-Mar,Boston,,,,
3-Apr,Boston,,,,
3-May,Boston,,,,
3-Jun,Boston,1.542,,,
3-Jul,Boston,1.559,,,
3-Aug,Boston,1.653,,,
3-Sep,Boston,1.814,,,
3-Oct,Boston,1.722,,,
3-Nov,Boston,1.612,,,
3-Dec,Boston,1.561,,,
4-Jan,Boston,1.624,,,
4-Feb,Boston,1.694,,,
4-Mar,Boston,1.752,,,
4-Apr,Boston,1.777,,,
4-May,Boston,2.018,,,
4-Jun,Boston,2.106,,,
4-Jul,Boston,1.991,,,
4-Aug,Boston,1.95,,,
4-Sep,Boston,1.922,,,
4-Oct,Boston,2.029,,,
4-Nov,Boston,2.034,,,
4-Dec,Boston,1.929,,,
5-Jan,Boston,1.874,,,
5-Feb,Boston,1.936,,,
5-Mar,Boston,2.042,,,
5-Apr,Boston,2.206,,,
5-May,Boston,2.205,,,
5-Jun,Boston,2.209,,,
5-Jul,Boston,2.395,,,
5-Aug,Boston,2.557,,,
5-Sep,Boston,3.08,,,
5-Oct,Boston,2.72,,,
5-Nov,Boston,2.225,,,
5-Dec,Boston,2.186,,,
6-Jan,Boston,2.379,,,
6-Feb,Boston,2.303,,,
6-Mar,Boston,2.36,,,
6-Apr,Boston,2.724,,,
6-May,Boston,2.989,,,
6-Jun,Boston,3.028,,,
6-Jul,Boston,3.061,,,
6-Aug,Boston,3.038,,,
6-Sep,Boston,2.649,,,
6-Oct,Boston,2.248,,,
6-Nov,Boston,2.218,,,
6-Dec,Boston,2.345,,,
7-Jan,Boston,2.306,,,
7-Feb,Boston,2.25,,,
7-Mar,Boston,2.547,,,
7-Apr,Boston,2.784,,,
7-May,Boston,3.038,,,
7-Jun,Boston,3.024,,,
7-Jul,Boston,2.945,,,
7-Aug,Boston,2.784,,,
7-Sep,Boston,2.696,,,
7-Oct,Boston,2.726,,,
7-Nov,Boston,3.022,,,
7-Dec,Boston,3.064,,,
8-Jan,Boston,3.078,,,
8-Feb,Boston,3.024,,,
8-Mar,Boston,3.144,,,
8-Apr,Boston,3.36,,,
8-May,Boston,3.768,,,
8-Jun,Boston,4.061,,,
8-Jul,Boston,4.077,,,
8-Aug,Boston,3.775,,,
8-Sep,Boston,3.591,,,
8-Oct,Boston,3.017,,, 
8-Nov,Boston,2.2,,,
8-Dec,Boston,1.738,,,
9-Jan,Boston,1.76,,,
9-Feb,Boston,1.907,,,
9-Mar,Boston,1.94,,,
9-Apr,Boston,2.032,,,
9-May,Boston,2.262,,,
9-Jun,Boston,2.621,,,
9-Jul,Boston,2.573,,,
9-Aug,Boston,2.645,,,
9-Sep,Boston,2.616,,,
9-Oct,Boston,2.548,,,
9-Nov,Boston,2.674,,,
9-Dec,Boston,2.645,,,
10-Jan,Boston,2.737,,,
10-Feb,Boston,2.702,,,
10-Mar,Boston,2.735,,,
10-Apr,Boston,2.819,,,
10-May,Boston,2.877,,,
10-Jun,Boston,2.752,,,
10-Jul,Boston,2.735,,,
10-Aug,Boston,2.721,,,
10-Sep,Boston,2.65,,,
10-Oct,Boston,2.81,,,
10-Nov,Boston,2.953,,,
10-Dec,Boston,3.081,,,
11-Jan,Boston,3.163,,,
11-Feb,Boston,3.233,,,
11-Mar,Boston,3.535,,,
11-Apr,Boston,3.766,,,
11-May,Boston,3.984,,,
11-Jun,Boston,3.806,,,
11-Jul,Boston,3.785,,,
11-Aug,Boston,3.774,,,
11-Sep,Boston,3.687,,,
11-Oct,Boston,3.517,,,
11-Nov,Boston,3.456,,,
11-Dec,Boston,3.343,,,
12-Jan,Boston,3.457,,,
12-Feb,Boston,3.645,,,
12-Mar,Boston,3.798,,,
12-Apr,Boston,3.921,,,
12-May,Boston,3.794,,,
12-Jun,Boston,3.581,,,
12-Jul,Boston,3.559,,,
12-Aug,Boston,3.778,,,
12-Sep,Boston,3.927,,,
12-Oct,Boston,3.9,,,
12-Nov,Boston,3.687,,,
12-Dec,Boston,3.521,,,
13-Jan,Boston,3.504,,,
13-Feb,Boston,3.751,,,
13-Mar,Boston,3.756,,,
13-Apr,Boston,3.604,,,
13-May,Boston,3.556,,,
13-Jun,Boston,3.591,,,
13-Jul,Boston,3.691,,,
13-Aug,Boston,3.753,,,
13-Sep,Boston,3.695,,,
13-Oct,Boston,3.507,,,
13-Nov,Boston,3.404,,,
13-Dec,Boston,3.508,,,
14-Jan,Boston,3.515,,,
14-Feb,Boston,3.475,,,
14-Mar,Boston,3.579,,,
14-Apr,Boston,3.659,,,
14-May,Boston,3.728,,,
14-Jun,Boston,3.737,,,
14-Jul,Boston,3.736,,,
14-Aug,Boston,3.596,,,
14-Sep,Boston,3.527,,,
14-Oct,Boston,3.339,,,
14-Nov,Boston,3.055,,,
14-Dec,Boston,2.778,,,
15-Jan,Boston,2.33,,,
15-Feb,Boston,2.25,,,
15-Mar,Boston,2.431,,,
15-Apr,Boston,2.458,,,
15-May,Boston,2.696,,,
15-Jun,Boston,2.797,,,
15-Jul,Boston,2.796,,,
15-Aug,Boston,2.603,,,
15-Sep,Boston,2.383,,,
15-Oct,Boston,2.26,,,
15-Nov,Boston,2.217,,,
15-Dec,Boston,2.163,,,
16-Jan,Boston,2.058,,,
16-Feb,Boston,1.918,,,
16-Mar,Boston,1.987,,,
16-Apr,Boston,2.172,,,
16-May,Boston,2.345,,,
16-Jun,Boston,2.411,,,
16-Jul,Boston,2.337,,,
16-Aug,Boston,2.226,,,
16-Sep,Boston,2.257,,,
16-Oct,Boston,2.308,,,
16-Nov,Boston,2.282,,,
16-Dec,Boston,2.327,,,
17-Jan,Boston,2.401,,,
17-Feb,Boston,2.351,,,
17-Mar,Boston,2.33,,,
17-Apr,Boston,2.41,,,
17-May,Boston,2.47,,,
17-Jun,Boston,2.421,,,
17-Jul,Boston,2.379,,,
17-Aug,Boston,2.445,,,
17-Sep,Boston,2.828,,,
17-Oct,Boston,2.715,,,
17-Nov,Boston,2.688,,,
17-Dec,Boston,2.649,,,
18-Jan,Boston,2.659,,,
18-Feb,Boston,2.705,,,
18-Mar,Boston,2.664,,,
18-Apr,Boston,2.781,,,
18-May,Boston,2.952,,,
18-Jun,Boston,2.969,,,
18-Jul,Boston,2.956,,,
18-Aug,Boston,2.942,,,
18-Sep,Boston,2.923,,,
18-Oct,Boston,2.899,,,
18-Nov,Boston,2.809,,,
18-Dec,Boston,2.674,,,
19-Jan,Boston,2.521,,,
19-Feb,Boston,2.464,,,
19-Mar,Boston,2.532,,,
19-Apr,Boston,2.741,,,
19-May,Boston,2.903,,,
19-Jun,Boston,2.812,,,
19-Jul,Boston,2.802,,,
19-Aug,Boston,2.78,,,
19-Sep,Boston,2.685,,,
19-Oct,Boston,2.657,,,
19-Nov,Boston,2.643,,,
19-Dec,Boston,2.635,,,
20-Jan,Boston,2.639,,,
20-Feb,Boston,2.581,,,
20-Mar,Boston,2.387,,,
20-Apr,Boston,2.046,,,
20-May,Boston,2.041,,,
20-Jun,Boston,2.136,,,
20-Jul,Boston,2.186,,,
20-Aug,Boston,2.193,,,
20-Sep,Boston,2.191,,,
20-Oct,Boston,2.175,,,
20-Nov,Boston,2.154,,,
20-Dec,Boston,2.244,,,
21-Jan,Boston,2.385,,,
21-Feb,Boston,2.536,,,
21-Mar,Boston,2.805,,,
21-Apr,Boston,2.832,,,
Jun-00,Chicago,2.075,,,
Jul-00,Chicago,1.611,,,
Aug-00,Chicago,1.404,,,
Sep-00,Chicago,1.56,,,
Oct-00,Chicago,1.551,,,
Nov-00,Chicago,1.567,,,
Dec-00,Chicago,1.483,,,
1-Jan,Chicago,1.562,,,
1-Feb,Chicago,1.522,,,
1-Mar,Chicago,1.427,,,
1-Apr,Chicago,1.735,,,
1-May,Chicago,2.022,,,
1-Jun,Chicago,1.783,,,
1-Jul,Chicago,1.416,,,
1-Aug,Chicago,1.64,,,
1-Sep,Chicago,1.849,,,
1-Oct,Chicago,1.466,,,
1-Nov,Chicago,1.261,,,
1-Dec,Chicago,1.204,,,
2-Jan,Chicago,1.153,,,
2-Feb,Chicago,1.152,,,
2-Mar,Chicago,1.372,,,
2-Apr,Chicago,1.543,,,
2-May,Chicago,1.577,,,
2-Jun,Chicago,1.566,,,
2-Jul,Chicago,1.526,,,
2-Aug,Chicago,1.524,,,
2-Sep,Chicago,1.532,,,
2-Oct,Chicago,1.6,,,
2-Nov,Chicago,1.53,,,
2-Dec,Chicago,1.448,,,
3-Jan,Chicago,1.54,,,
3-Feb,Chicago,1.696,,,
3-Mar,Chicago,1.754,,,
3-Apr,Chicago,1.608,,,
3-May,Chicago,1.584,,,
3-Jun,Chicago,1.623,,,
3-Jul,Chicago,1.606,,,
3-Aug,Chicago,1.725,,,
3-Sep,Chicago,1.799,,,
3-Oct,Chicago,1.689,,,
3-Nov,Chicago,1.643,,,
3-Dec,Chicago,1.576,,,
4-Jan,Chicago,1.676,,,
4-Feb,Chicago,1.751,,,
4-Mar,Chicago,1.802,,,
4-Apr,Chicago,1.908,,,
4-May,Chicago,2.123,,,
4-Jun,Chicago,2.044,,,
4-Jul,Chicago,1.982,,,
4-Aug,Chicago,1.97,,,
4-Sep,Chicago,1.951,,,
4-Oct,Chicago,2.075,,,
4-Nov,Chicago,2.047,,,
4-Dec,Chicago,1.872,,,
5-Jan,Chicago,1.899,,,
5-Feb,Chicago,1.963,,,
5-Mar,Chicago,2.185,,,
5-Apr,Chicago,2.327,,,
5-May,Chicago,2.22,,,
5-Jun,Chicago,2.228,,,
5-Jul,Chicago,2.413,,,
5-Aug,Chicago,2.652,,,
5-Sep,Chicago,2.947,,,
5-Oct,Chicago,2.768,,,
5-Nov,Chicago,2.337,,,
5-Dec,Chicago,2.304,,,
6-Jan,Chicago,2.39,,,
6-Feb,Chicago,2.316,,,
6-Mar,Chicago,2.537,,,
6-Apr,Chicago,2.845,,,
6-May,Chicago,2.978,,,
6-Jun,Chicago,3.039,,,
6-Jul,Chicago,3.229,,,
6-Aug,Chicago,3.209,,,
6-Sep,Chicago,2.792,,,
6-Oct,Chicago,2.343,,,
6-Nov,Chicago,2.329,,,
6-Dec,Chicago,2.375,,,
7-Jan,Chicago,2.273,,,
7-Feb,Chicago,2.378,,,
7-Mar,Chicago,2.569,,,
7-Apr,Chicago,2.948,,,
7-May,Chicago,3.5,,,
7-Jun,Chicago,3.442,,,
7-Jul,Chicago,3.26,,,
7-Aug,Chicago,3.082,,,
7-Sep,Chicago,3.187,,,
7-Oct,Chicago,2.938,,,
7-Nov,Chicago,3.183,,,
7-Dec,Chicago,3.107,,,
8-Jan,Chicago,3.175,,,
8-Feb,Chicago,3.155,,,
8-Mar,Chicago,3.364,,,
8-Apr,Chicago,3.665,,,
8-May,Chicago,4.021,,,
8-Jun,Chicago,4.23,,,
8-Jul,Chicago,4.271,,,
8-Aug,Chicago,4.061,,,
8-Sep,Chicago,4.065,,,
8-Oct,Chicago,3.374,,,
8-Nov,Chicago,2.331,,,
8-Dec,Chicago,1.754,,,
9-Jan,Chicago,1.987,,,
9-Feb,Chicago,1.978,,,
9-Mar,Chicago,2.065,,,
9-Apr,Chicago,2.182,,,
9-May,Chicago,2.536,,,
9-Jun,Chicago,2.887,,,
9-Jul,Chicago,2.699,,,
9-Aug,Chicago,2.738,,,
9-Sep,Chicago,2.634,,,
9-Oct,Chicago,2.675,,,
9-Nov,Chicago,2.796,,,
9-Dec,Chicago,2.738,,,
10-Jan,Chicago,2.87,,,
10-Feb,Chicago,2.768,,,
10-Mar,Chicago,2.939,,,
10-Apr,Chicago,3.102,,,
10-May,Chicago,3.084,,,
10-Jun,Chicago,2.943,,,
10-Jul,Chicago,2.923,,,
10-Aug,Chicago,2.906,,,
10-Sep,Chicago,2.983,,,
10-Oct,Chicago,2.996,,,
10-Nov,Chicago,3.049,,,
10-Dec,Chicago,3.161,,,
11-Jan,Chicago,3.292,,,
11-Feb,Chicago,3.412,,,
11-Mar,Chicago,3.745,,,
11-Apr,Chicago,4.16,,,
11-May,Chicago,4.328,,,
11-Jun,Chicago,4.1,,,
11-Jul,Chicago,3.995,,,
11-Aug,Chicago,3.937,,,
11-Sep,Chicago,3.903,,,
11-Oct,Chicago,3.567,,,
11-Nov,Chicago,3.56,,,
11-Dec,Chicago,3.414,,,
12-Jan,Chicago,3.602,,,
12-Feb,Chicago,3.644,,,
12-Mar,Chicago,4.267,,,
12-Apr,Chicago,4.293,,,
12-May,Chicago,4.097,,,
12-Jun,Chicago,3.873,,,
12-Jul,Chicago,3.749,,,
12-Aug,Chicago,4.2,,,
12-Sep,Chicago,4.248,,,
12-Oct,Chicago,3.884,,,
12-Nov,Chicago,3.614,,,
12-Dec,Chicago,3.462,,,
13-Jan,Chicago,3.45,,,
13-Feb,Chicago,3.963,,,
13-Mar,Chicago,3.958,,,
13-Apr,Chicago,3.995,,,
13-May,Chicago,4.207,,,
13-Jun,Chicago,4.278,,,
13-Jul,Chicago,4.002,,,
13-Aug,Chicago,3.841,,,
13-Sep,Chicago,3.769,,,
13-Oct,Chicago,3.542,,,
13-Nov,Chicago,3.41,,,
13-Dec,Chicago,3.417,,,
14-Jan,Chicago,3.524,,,
14-Feb,Chicago,3.61,,,
14-Mar,Chicago,3.911,,,
14-Apr,Chicago,4.082,,,
14-May,Chicago,3.974,,,
14-Jun,Chicago,4.09,,,
14-Jul,Chicago,3.804,,,
14-Aug,Chicago,3.702,,,
14-Sep,Chicago,3.735,,,
14-Oct,Chicago,3.437,,,
14-Nov,Chicago,3.164,,,
14-Dec,Chicago,2.716,,,
15-Jan,Chicago,2.217,,,
15-Feb,Chicago,2.462,,,
15-Mar,Chicago,2.699,,,
15-Apr,Chicago,2.79,,,
15-May,Chicago,2.998,,,
15-Jun,Chicago,3.208,,,
15-Jul,Chicago,3.072,,,
15-Aug,Chicago,3.09,,,
15-Sep,Chicago,2.8,,,
15-Oct,Chicago,2.711,,,
15-Nov,Chicago,2.33,,,
15-Dec,Chicago,2.2,,,
16-Jan,Chicago,2.068,,,
16-Feb,Chicago,1.808,,,
16-Mar,Chicago,2.195,,,
16-Apr,Chicago,2.357,,,
16-May,Chicago,2.566,,,
16-Jun,Chicago,2.764,,,
16-Jul,Chicago,2.455,,,
16-Aug,Chicago,2.441,,,
16-Sep,Chicago,2.45,,,
16-Oct,Chicago,2.429,,,
16-Nov,Chicago,2.325,,,
16-Dec,Chicago,2.526,,,
17-Jan,Chicago,2.566,,,
17-Feb,Chicago,2.464,,,
17-Mar,Chicago,2.513,,,
17-Apr,Chicago,2.682,,,
17-May,Chicago,2.626,,,
17-Jun,Chicago,2.528,,,
17-Jul,Chicago,2.528,,,
17-Aug,Chicago,2.558,,,
17-Sep,Chicago,2.7,,,
17-Oct,Chicago,2.699,,,
17-Nov,Chicago,2.888,,,
17-Dec,Chicago,2.7,,,
18-Jan,Chicago,2.806,,,
18-Feb,Chicago,2.702,,,
18-Mar,Chicago,2.79,,,
18-Apr,Chicago,2.981,,,
18-May,Chicago,3.21,,,
18-Jun,Chicago,3.188,,,
18-Jul,Chicago,3.094,,,
18-Aug,Chicago,3.046,,,
18-Sep,Chicago,3.046,,,
18-Oct,Chicago,3.014,,,
18-Nov,Chicago,2.713,,,
18-Dec,Chicago,2.379,,,
19-Jan,Chicago,2.266,,,
19-Feb,Chicago,2.46,,,
19-Mar,Chicago,2.731,,,
19-Apr,Chicago,3.119,,,
19-May,Chicago,3.281,,,
19-Jun,Chicago,3.094,,,
19-Jul,Chicago,3.228,,,
19-Aug,Chicago,2.95,,,
